time_step [s] = stop-time [s] = time [s]	separation [m]	mean speed [m/s]
1.850000e-12	4.184118e-10	2.623742e+02
1.860000e-12	4.184891e-10	2.623596e+02
1.870000e-12	4.184182e-10	2.623553e+02
1.880000e-12	4.184929e-10	2.622006e+02
1.890000e-12	4.181963e-10	2.622591e+02
1.900000e-12	4.180661e-10	2.623715e+02
1.910000e-12	4.179781e-10	2.621915e+02
1.920000e-12	4.179325e-10	2.620767e+02
1.930000e-12	4.178642e-10	2.621286e+02
1.940000e-12	4.177716e-10	2.619759e+02
1.950000e-12	4.178943e-10	2.617225e+02
1.960000e-12	4.179566e-10	2.614722e+02
1.970000e-12	4.179529e-10	2.612126e+02
1.980000e-12	4.181036e-10	2.609753e+02
1.990000e-12	4.181993e-10	2.607412e+02
2.000000e-12	4.182903e-10	2.605678e+02
2.010000e-12	4.184433e-10	2.606289e+02
2.020000e-12	4.182687e-10	2.607444e+02
2.030000e-12	4.184302e-10	2.606962e+02
2.040000e-12	4.184571e-10	2.607402e+02
2.050000e-12	4.184137e-10	2.610973e+02
2.060000e-12	4.186900e-10	2.609210e+02
2.070000e-12	4.187744e-10	2.606622e+02
2.080000e-12	4.189326e-10	2.603614e+02
2.090000e-12	4.190080e-10	2.600762e+02
2.100000e-12	4.191089e-10	2.597659e+02
2.110000e-12	4.193293e-10	2.594724e+02
2.120000e-12	4.193131e-10	2.591760e+02
2.130000e-12	4.194207e-10	2.588712e+02
2.140000e-12	4.195195e-10	2.585435e+02
2.150000e-12	4.195964e-10	2.581764e+02
2.160000e-12	4.197181e-10	2.577963e+02
2.170000e-12	4.196224e-10	2.574282e+02
2.180000e-12	4.196374e-10	2.570714e+02
2.190000e-12	4.196664e-10	2.567008e+02
2.200000e-12	4.198673e-10	2.563103e+02
2.210000e-12	4.196490e-10	2.561725e+02
2.220000e-12	4.196037e-10	2.558047e+02
2.230000e-12	4.194720e-10	2.553915e+02
2.240000e-12	4.194367e-10	2.546864e+02
2.250000e-12	4.193340e-10	2.542940e+02
2.260000e-12	4.191209e-10	2.537276e+02
